REF_SKU;AVAILABLE;PREORDER;PRODUCT_FREE;PRODUCT_SHIP;PRODUCT_VIRTUAL;SKU;MANUFACTURER;PRODUCT_WEIGHT;PRODUCT_ITEM_WEIGHT;PRODUCT_HEIGHT;PRODUCT_LENGTH;PRODUCT_WIDTH;CATEGORY;FREE_SHIPPING;QUANTITY;QUANTITY_ORD_MIN;QUANTITY_ORD_MAX;NAME;DESCRIPTION;PRODUCT_PRICE_AMOUNT;PRODUCT_PRICE_SPECIAL_AMOUNT;PRODUCT_PRICE_SPECIAL_ST_DATE;PRODUCT_PRICE_SPECIAL_END_DATE;META_TAGS;MINIMUM_INCREASE
T922561;true;;;;;T922561;TRAMONTINA (BAZAR, HERRAMIENTAS, ELECTRICIDAD);;;;;;M02;;1;1;100000;REPOSERA LEBLON TRAMONTINA 4 POSICIONES;<p>La reposera de polipropileno Tramontina Leblon hará que los espacios exteriores sean más bonitos y acogedores. Perfecta para ambientes residenciales o comerciales, es la compañía adecuada para disfrutar de los momentos en la alberca o descansar en el balcón. Elegante y con un diseño diferenciado, es ligero y compacto y sus ruedas facilitan el transporte. Además, aporta toda la calidad y resistencia del polipropileno. Es la elección correcta para hacer que los lugares sean mucho más bellos. Peso máximo recomendado: 120 kg. Fabricado con polipropileno.</p>;434000;;;;REPOSERA,TRAMONTINA,REPOSERA DE PLASTICO,REPOSERA DE POLIPROPILENO,REPOSERA TRAMONTINA,REPOSERA LEBLON,SILLA DE PLAYA,SILLAS DE PLAYA;1
892011;false;;;;;892011;GERMANY;;;;;;F09;;1;1;100000;HOJA PARA CEPILLADORA GERMANY 350MM;<p>HOJA PARA CEPILLADORA GERMANY 350MM</p>;85400;;;;HOJA PARA CEPILLADORA GERMANY,GERMANY,HOJA;1
892394;false;;;;;892394;GERMANY;;;;;;F09;;1;1;100000;MOSQUETON BRUÑIDO GERMANY 100MM;<p>MOSQUETON BRUÑIDO GERMANY 100MM</p>;10100;;;;MOSQUETON BRUÑIDO GERMANY,GERMANY,MOSQUETON BRUÑIDO,MOSQUETON;1
845858;true;;;;;845858;DELTA PLUS;;;;;;113;;1;1;100000;CRIQUET 5TN 50MM X 9MT ESLINGAR;<p>CRIQUET 5TN 50MM X 9MT ESLINGAR</p>;130800;;;;CRIQUET,CRIQUET PARA CARGA,ESLINGAR,CATRACA,DELTA PLUS;1
8458854;true;;;;;8458854;DELTA PLUS;;;;;;113;;1;1;100000;ESLINGA 4T 100MM x 4MT ESLINGAR;<p>ESLINGA 4T 100MM x 4MT ESLINGAR</p>;323000;;;;DELTA PLUS,ESLINGAR,ESLINGA;1
892084;false;;;;;892084;GERMANY;;;;;;119;;1;1;100000;PORTA ELECTRODO PESADO GERMANY 600AM;<p>PORTA ELECTRODO PESADO GERMANY 600AM</p>;125200;;;;PORTA ELECTRODO PESADO GERMANY,GERMANY,PORTA ELECTRODO;1
892105;false;;;;;892105;PRESSOL;;;;;;721;;1;1;100000;ACEITERA FLEXIBLE  PRESSOL 125CC;"<p>ACEITERA FLEXIBLE &nbsp;PRESSOL 125CC</p>";51300;;;;ACEITERA FLEXIBLE PRESSOL,GERMANY,PRESSOL,ACEITERA;1
8458853;true;;;;;8458853;DELTA PLUS;;;;;;113;;1;1;100000;ESLINGA 4T 100MM x 3MT ESLINGAR;<p>ESLINGA 4T 100MM x 3MT ESLINGAR</p>;288000;;;;DELTA PLUS,ESLINGAR,ESLINGA;1
892396;false;;;;;892396;GERMANY;;;;;;F09;;1;1;100000;MOSQUETON BRUÑIDO GERMANY 120MM;<p>MOSQUETON BRUÑIDO GERMANY 120MM</p>;10900;;;;MOSQUETON BRUÑIDO GERMANY,GERMANY,MOSQUETON BRUÑIDO,MOSQUETON;1
845804;true;;;;;845804;DELTA PLUS;;;;;;113;;1;1;100000;ARNES CABO VIDA 3P ESLINGAR  211-A;"<p>ARNES CABO VIDA 3P ESLINGAR &nbsp;211-A</p>";313000;;;;DELTA PLUS,ESLINGAR,ARNES CABO VIDA;1
892111;false;;;;;892111;GERMANY;;;;;;721;;1;1;100000;ENGRASADOR MANUAL PRESSOL;<p>ENGRASADOR MANUAL PRESSOL</p>;161000;;;;ENGRASADOR MANUAL PRESSOL,PRESSOL,ENGRASADOR;1
845807;true;;;;;845807;DELTA PLUS;;;;;;113;;1;1;100000;ARNES 3 PUNTOS ESLINGAR 212;<p>ARNES 3 PUNTOS ESLINGAR 212</p>;246000;;;;DELTA PLUS,ESLINGAR,ARNES 3 PUNTOS,ARNES;1
892431;false;;;;;892431;GERMANY;;;;;;724;;1;1;100000;TIJERA PARA ESQUILAR  GERMANY 275MM;"<p>TIJERA PARA ESQUILAR &nbsp;GERMANY 275MM</p>";294000;;;;TIJERA PARA ESQUILAR GERMANY,GERMANY,TIJERA;1
845429;true;;;;;845429;FUJIWARA;;;;;;113;;1;1;100000;BOTIN NOBUK PRO PUNTA DE ACERO FUJIWARA 39;BOTIN CUERO NOBUCK CORDON - PUNTA ACERO MARRON 39;213000;;;;BOTA, ZAPATON, NOBUCK, ACERO;1
892461;false;;;;;892461;GERMANY;;;;;;C01;;1;1;100000;GANCHO PARA CARNE  GERMANY 180MM;"<p>GANCHO PARA CARNE &nbsp;GERMANY 180MM</p>";16900;;;;GANCHO PARA CARNE GERMANY,GERMANY,GANCHO;1
